  File "Experiments.py", line 15
    %matplotlib inline
    ^
SyntaxError: invalid syntax
Using cache found in /cis/home/zwang/.cache/torch/hub/pytorch_vision_v0.6.0
epoch=0/60, train loss = 0.170, train_accuracy = 0.820
epoch=0/60, val loss = 0.221, val_accuracy = 0.700
epoch=1/60, train loss = 0.024, train_accuracy = 0.960
epoch=1/60, val loss = 0.129, val_accuracy = 0.830
epoch=2/60, train loss = 0.010, train_accuracy = 0.980
epoch=2/60, val loss = 0.046, val_accuracy = 0.930
epoch=3/60, train loss = 0.023, train_accuracy = 0.990
epoch=3/60, val loss = 0.033, val_accuracy = 0.930
epoch=4/60, train loss = 0.020, train_accuracy = 0.990
epoch=4/60, val loss = 0.186, val_accuracy = 0.750
epoch=5/60, train loss = 0.017, train_accuracy = 0.990
epoch=5/60, val loss = 0.123, val_accuracy = 0.790
epoch=6/60, train loss = 0.005, train_accuracy = 0.990
epoch=6/60, val loss = 0.138, val_accuracy = 0.790
epoch=7/60, train loss = 0.003, train_accuracy = 1.000
epoch=7/60, val loss = 0.134, val_accuracy = 0.810
epoch=8/60, train loss = 0.003, train_accuracy = 0.990
epoch=8/60, val loss = 0.147, val_accuracy = 0.780
epoch=9/60, train loss = 0.001, train_accuracy = 1.000
epoch=9/60, val loss = 0.125, val_accuracy = 0.790
epoch=10/60, train loss = 0.001, train_accuracy = 0.990
epoch=10/60, val loss = 0.137, val_accuracy = 0.790
epoch=11/60, train loss = 0.002, train_accuracy = 1.000
epoch=11/60, val loss = 0.121, val_accuracy = 0.770
epoch=12/60, train loss = 0.001, train_accuracy = 1.000
epoch=12/60, val loss = 0.125, val_accuracy = 0.810
epoch=13/60, train loss = 0.004, train_accuracy = 1.000
epoch=13/60, val loss = 0.115, val_accuracy = 0.810
epoch=14/60, train loss = 0.002, train_accuracy = 1.000
epoch=14/60, val loss = 0.125, val_accuracy = 0.800
epoch=15/60, train loss = 0.010, train_accuracy = 0.990
epoch=15/60, val loss = 0.121, val_accuracy = 0.800
epoch=16/60, train loss = 0.003, train_accuracy = 0.990
epoch=16/60, val loss = 0.138, val_accuracy = 0.790
epoch=17/60, train loss = 0.002, train_accuracy = 0.990
epoch=17/60, val loss = 0.118, val_accuracy = 0.790
epoch=18/60, train loss = 0.001, train_accuracy = 1.000
epoch=18/60, val loss = 0.134, val_accuracy = 0.810
epoch=19/60, train loss = 0.004, train_accuracy = 1.000
epoch=19/60, val loss = 0.138, val_accuracy = 0.790
epoch=20/60, train loss = 0.001, train_accuracy = 1.000
epoch=20/60, val loss = 0.131, val_accuracy = 0.790
epoch=21/60, train loss = 0.016, train_accuracy = 0.990
epoch=21/60, val loss = 0.126, val_accuracy = 0.800
epoch=22/60, train loss = 0.001, train_accuracy = 1.000
epoch=22/60, val loss = 0.128, val_accuracy = 0.810
epoch=23/60, train loss = 0.008, train_accuracy = 0.980
epoch=23/60, val loss = 0.123, val_accuracy = 0.810
epoch=24/60, train loss = 0.001, train_accuracy = 1.000
epoch=24/60, val loss = 0.127, val_accuracy = 0.780
epoch=25/60, train loss = 0.001, train_accuracy = 1.000
epoch=25/60, val loss = 0.120, val_accuracy = 0.780
epoch=26/60, train loss = 0.006, train_accuracy = 0.990
epoch=26/60, val loss = 0.139, val_accuracy = 0.770
epoch=27/60, train loss = 0.002, train_accuracy = 1.000
epoch=27/60, val loss = 0.128, val_accuracy = 0.790
epoch=28/60, train loss = 0.009, train_accuracy = 0.990
epoch=28/60, val loss = 0.129, val_accuracy = 0.810
epoch=29/60, train loss = 0.001, train_accuracy = 1.000
epoch=29/60, val loss = 0.129, val_accuracy = 0.770
epoch=30/60, train loss = 0.001, train_accuracy = 1.000
epoch=30/60, val loss = 0.139, val_accuracy = 0.800
epoch=31/60, train loss = 0.001, train_accuracy = 1.000
epoch=31/60, val loss = 0.136, val_accuracy = 0.780
epoch=32/60, train loss = 0.005, train_accuracy = 0.990
epoch=32/60, val loss = 0.118, val_accuracy = 0.820
epoch=33/60, train loss = 0.002, train_accuracy = 1.000
epoch=33/60, val loss = 0.123, val_accuracy = 0.800
epoch=34/60, train loss = 0.009, train_accuracy = 0.990
epoch=34/60, val loss = 0.140, val_accuracy = 0.810
epoch=35/60, train loss = 0.003, train_accuracy = 0.990
epoch=35/60, val loss = 0.138, val_accuracy = 0.780
epoch=36/60, train loss = 0.002, train_accuracy = 0.990
epoch=36/60, val loss = 0.144, val_accuracy = 0.800
epoch=37/60, train loss = 0.001, train_accuracy = 1.000
epoch=37/60, val loss = 0.128, val_accuracy = 0.760
epoch=38/60, train loss = 0.001, train_accuracy = 1.000
epoch=38/60, val loss = 0.131, val_accuracy = 0.780
epoch=39/60, train loss = 0.003, train_accuracy = 1.000
epoch=39/60, val loss = 0.142, val_accuracy = 0.790
epoch=40/60, train loss = 0.001, train_accuracy = 1.000
epoch=40/60, val loss = 0.141, val_accuracy = 0.800
epoch=41/60, train loss = 0.001, train_accuracy = 1.000
epoch=41/60, val loss = 0.145, val_accuracy = 0.790
epoch=42/60, train loss = 0.002, train_accuracy = 1.000
epoch=42/60, val loss = 0.126, val_accuracy = 0.800
epoch=43/60, train loss = 0.017, train_accuracy = 0.980
epoch=43/60, val loss = 0.127, val_accuracy = 0.780
epoch=44/60, train loss = 0.002, train_accuracy = 1.000
epoch=44/60, val loss = 0.128, val_accuracy = 0.800
epoch=45/60, train loss = 0.001, train_accuracy = 1.000
epoch=45/60, val loss = 0.135, val_accuracy = 0.800
epoch=46/60, train loss = 0.002, train_accuracy = 1.000
epoch=46/60, val loss = 0.140, val_accuracy = 0.790
epoch=47/60, train loss = 0.003, train_accuracy = 1.000
epoch=47/60, val loss = 0.132, val_accuracy = 0.790
